"name";"temp_final";"dif_final";"cluster"
"Mantoniella squamata";20;0;2
"Marsupiomonas sp. ";20;0;2
"Mataza hastifera";20;0;2
"Mayamaea atomus";15;0;1
"Mazzaella flaccida";10;0;1
"Mazzaella splendens";10;0;1
"Melanosiphon intestinalis";10;0;1
"Merismopedia sp. ";20;0;2
"Merismopedia tenuissima";20;0;2
"Merotricha bacillata";20;0;2
"Mesopedinella arctica";20;0;2
"Mesostigma viride";20;0;2
"Mesotaenium caldariorum";20;0;2
"Mesotaenium kramstae";20;0;2
"Messastrum gracile";20;0;2
"Micractinium bornhemiensis";20;0;2
"Micractinium inermum";20;0;2
"Micractinium pusillum";20;0;2
"Micractinium sp. ";20;0;2
"Micrasterias anomala";22;0;2
"Micrasterias crux";20;0;2
"Micrasterias foliacea";21;1;2
"Micrasterias truncata";22;0;2
"Microchloropsis gaditana";20;0;2
"Microcystis aeruginosa";18;1.49266862170088;2
"Microglena media";20;0;2
"Microglena opisthopyren";20;0;2
"Microglena sp. ";20;0;2
"Micromonas commoda";20;0;2
"Micromonas pusilla";20;0;2
"Micromonas sp. ";20;0;2
"Microseira wollei";20;0;2
"Microthamnion k";10;0;1
"Microzonia sp. no data ";10;0;1
"Mischococcus sp. ";20;0;2
"mitchelliae ";10;0;1
"Miuraea migitae";15;0;1
"Monactinus sturmii";20;0;2
"Monodus sp. ";20;0;2
"Monomastix minuta";20;0;2
"Monoraphidium circinale";20;0;2
"Monoraphidium contortum";20;0;2
"Monoraphidium convolutum";15;0;1
"Monoraphidium griffithii";20;0;2
