 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602772128.0661447]         [Thread #73]    - [Thread #73] running on [1/28] CPUs
[1602772128.06623]           [Thread #73]      Creating output directories...
[1602772128.068913]          [Thread #73]      Translating reads...
[1602772146.7957563]         [Thread #73]      Running DIAMOND...
[1602772152.8554707]         [Thread #73]      Converting DIAMOND...
[1602772152.9525023]         [Thread #73]      Parsing DIAMOND...
[1602772153.0600104]         [Thread #73]      Annotating...
[1602772153.4147305]         [Thread #73]      Analyzing...
[1602772153.6140127]         [Thread #73]      Create read mapping...
[1602772168.1776955]         [Thread #73]    - [Thread #73] finished
[1602772149.0259619]         [Thread #74]    - [Thread #74] running on [1/28] CPUs
[1602772149.0260427]         [Thread #74]      Creating output directories...
[1602772149.02883]           [Thread #74]      Translating reads...
[1602772168.0799065]         [Thread #74]      Running DIAMOND...
[1602772174.134143]          [Thread #74]      Converting DIAMOND...
[1602772174.241774]          [Thread #74]      Parsing DIAMOND...
[1602772174.3922713]         [Thread #74]      Annotating...
[1602772174.5790293]         [Thread #74]      Analyzing...
[1602772174.7064888]         [Thread #74]      Create read mapping...
[1602772188.6037495]         [Thread #74]    - [Thread #74] finished
[1602772191.2147362]         [Thread #76]    - [Thread #76] running on [1/28] CPUs
[1602772191.214822]          [Thread #76]      Creating output directories...
[1602772191.21784]           [Thread #76]      Translating reads...
[1602772209.919995]          [Thread #76]      Running DIAMOND...
[1602772216.0159833]         [Thread #76]      Converting DIAMOND...
[1602772216.1262739]         [Thread #76]      Parsing DIAMOND...
[1602772216.265059]          [Thread #76]      Annotating...
[1602772216.4173195]         [Thread #76]      Analyzing...
[1602772216.6255794]         [Thread #76]      Create read mapping...
[1602772231.5899217]         [Thread #76]    - [Thread #76] finished
[1602772212.1444137]         [Thread #77]    - [Thread #77] running on [1/28] CPUs
[1602772212.1444867]         [Thread #77]      Creating output directories...
[1602772212.1473875]         [Thread #77]      Translating reads...
[1602772231.5469563]         [Thread #77]      Running DIAMOND...
[1602772237.7282405]         [Thread #77]      Converting DIAMOND...
[1602772237.8643792]         [Thread #77]      Parsing DIAMOND...
[1602772238.0105]            [Thread #77]      Annotating...
[1602772238.2283897]         [Thread #77]      Analyzing...
[1602772238.5149155]         [Thread #77]      Create read mapping...
[1602772253.1622157]         [Thread #77]    - [Thread #77] finished
[1602772233.6501431]         [Thread #78]    - [Thread #78] running on [1/28] CPUs
[1602772233.6502237]         [Thread #78]      Creating output directories...
[1602772233.6531975]         [Thread #78]      Translating reads...
[1602772253.1306365]         [Thread #78]      Running DIAMOND...
[1602772259.375771]          [Thread #78]      Converting DIAMOND...
[1602772259.4911945]         [Thread #78]      Parsing DIAMOND...
[1602772259.6780522]         [Thread #78]      Annotating...
[1602772260.0321896]         [Thread #78]      Analyzing...
[1602772260.3427193]         [Thread #78]      Create read mapping...
[1602772274.6628325]         [Thread #78]    - [Thread #78] finished
[1602772276.6698568]         [Thread #80]    - [Thread #80] running on [1/28] CPUs
[1602772276.6699417]         [Thread #80]      Creating output directories...
[1602772276.6732888]         [Thread #80]      Translating reads...
[1602772295.9273565]         [Thread #80]      Running DIAMOND...
[1602772301.9897122]         [Thread #80]      Converting DIAMOND...
[1602772302.2789881]         [Thread #80]      Parsing DIAMOND...
[1602772302.3738918]         [Thread #80]      Annotating...
[1602772302.391421]          [Thread #80]      Analyzing...
[1602772302.6490514]         [Thread #80]      Create read mapping...
[1602772317.067625]          [Thread #80]    - [Thread #80] finished
[1602772297.9549108]         [Thread #81]    - [Thread #81] running on [1/28] CPUs
[1602772297.9550114]         [Thread #81]      Creating output directories...
[1602772297.95813]           [Thread #81]      Translating reads...
[1602772316.9348934]         [Thread #81]      Running DIAMOND...
