ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.25251826643943787
1,1,3,1152,1.0,0.0001,(0.9, 0.8),100,125,0.005,1024,0.25251826643943787
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25244638323783875
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25244638323783875
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3476705253124237
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3476705253124237
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3486897349357605
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3486897349357605
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34533804655075073
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34533804655075073
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.33587348461151123
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.33587348461151123
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.32909703254699707
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.32909703254699707
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.25271376967430115
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.25271376967430115
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.31941714882850647
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.31941714882850647
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34740498661994934
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34740498661994934
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25454819202423096
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25454819202423096
