,t-SNE1,t-SNE2,metaseek_env_package
519,-1.2941027,9.933166,host-associated
520,-3.8332593,0.97470963,host-associated
521,-3.9446297,8.108859,host-associated
522,-2.5728889,-7.5563216,host-associated
523,-4.9161105,9.30218,host-associated
524,-4.29228,6.605074,host-associated
525,-6.3851395,-6.5596733,host-associated
526,6.0504055,-5.867673,host-associated
527,0.40583634,10.464778,host-associated
528,-0.6434061,2.659158,host-associated
529,-2.7427058,-7.7006626,host-associated
530,2.4111753,0.919251,host-associated
531,-2.405746,6.609379,host-associated
532,-0.8445308,8.167909,host-associated
533,-3.6076074,7.7791934,host-associated
534,-2.3880131,4.559581,host-associated
535,-0.59577763,7.6800876,host-associated
536,-7.799894,-5.041532,host-associated
537,-0.6152933,8.847135,host-associated
538,7.0101995,-6.1378202,host-associated
539,-6.28146,-7.1265397,host-associated
540,-5.6612277,-7.829383,host-associated
541,3.2823343,0.10283792,host-associated
542,-1.2790349,10.090555,host-associated
543,-3.9194207,8.067063,host-associated
544,2.4794502,0.82883984,host-associated
545,-0.60434103,8.999255,host-associated
546,-1.9438534,-7.359466,host-associated
547,-3.8703256,-5.998177,host-associated
548,-4.9133935,9.695276,host-associated
549,-0.7791316,9.428783,host-associated
550,-3.5621898,8.1879425,host-associated
551,-0.26717383,8.553391,host-associated
552,-3.4458182,7.1684527,host-associated
553,-3.6992548,8.2626915,host-associated
554,-2.6459317,9.35118,host-associated
555,-1.6212374,-7.565307,host-associated
556,-1.4963943,8.568661,host-associated
557,-0.67312855,9.155646,host-associated
558,-2.5935614,4.311407,host-associated
559,-7.9807987,-5.8123217,host-associated
560,-4.8304925,4.9286194,host-associated
561,-6.890118,-6.1214542,host-associated
562,-3.1062007,6.77294,host-associated
563,-0.69639146,8.45691,host-associated
564,-3.3687506,7.5853996,host-associated
565,-1.6005179,9.833552,host-associated
566,-1.4594443,8.318594,host-associated
567,7.2338676,-6.101096,host-associated
568,1.4733913,1.4137208,host-associated
569,-1.454895,6.680312,host-associated
570,-2.2642965,-8.044663,host-associated
571,-3.830649,8.257232,host-associated
572,-1.6298417,10.430397,host-associated
573,-2.5437424,4.696929,host-associated
574,-4.1274905,4.9561725,host-associated
575,-1.3450301,10.27257,host-associated
576,1.3614607,1.5362502,host-associated
577,-2.8041022,7.203352,host-associated
578,-3.318618,7.9065638,host-associated
579,-1.3717122,10.187507,host-associated
580,7.3572774,-3.6732874,host-associated
581,5.29587,-4.7443824,host-associated
582,-6.0315804,-6.0158596,host-associated
583,-5.0463486,9.004506,host-associated
584,-0.83684105,8.3634815,host-associated
585,1.1433579,1.7188145,host-associated
586,-1.9207897,-7.3787093,host-associated
587,5.111517,-5.1672916,host-associated
588,-0.95930386,9.511694,host-associated
589,-1.5034688,7.7589407,host-associated
590,-3.767087,2.4062276,host-associated
591,-4.8508554,9.614426,host-associated
592,-3.4917378,3.7787364,host-associated
593,5.2749333,-5.9721723,host-associated
594,-6.8880568,-6.6139026,host-associated
595,-1.5870645,10.424666,host-associated
596,-0.01392412,0.24030028,host-associated
597,-6.3704343,-5.5008698,host-associated
598,-0.65343463,7.726852,host-associated
599,-0.750016,8.899512,host-associated
600,6.6056104,-5.9794774,host-associated
601,-4.9168987,8.977135,host-associated
602,-2.396049,-6.2450643,host-associated
603,-2.4445853,-5.0628686,host-associated
604,3.4641244,-0.7317707,host-associated
605,-1.5114481,10.171831,host-associated
606,-2.821875,-7.8430758,host-associated
607,1.1154417,1.7676523,host-associated
608,-7.81008,-5.175856,host-associated
609,-1.4367197,-6.7733307,host-associated
610,-4.4097886,4.9805746,host-associated
611,-1.4546317,10.36685,host-associated
612,-0.9461176,9.662131,host-associated
613,-0.7953324,9.104856,host-associated
614,-2.5932763,6.0342813,host-associated
615,-0.60347897,8.323381,host-associated
616,-0.94850224,-5.98716,host-associated
617,-4.042458,7.3013763,host-associated
618,-1.214185,9.929498,host-associated
619,-1.7301848,-8.689429,host-associated
620,-3.66115,7.5418067,host-associated
621,-3.825433,8.150078,host-associated
622,-5.0126357,4.5901227,host-associated
623,-1.6721908,10.253689,host-associated
624,-0.5315524,8.1359415,host-associated
625,-0.8663961,7.586216,host-associated
626,-4.2596097,0.8926021,host-associated
627,5.0851097,-5.2800155,host-associated
628,-2.1910195,-0.10942447,host-associated
629,-0.79808104,8.75727,host-associated
630,-5.765582,0.01870583,host-associated
631,-2.0596943,4.9616423,host-associated
632,-0.68660074,7.5516524,host-associated
633,-2.5174305,-5.7492313,host-associated
634,-2.9377856,-5.7540755,host-associated
