 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602775835.9261315]         [Thread #40]    - [Thread #40] running on [1/28] CPUs
[1602775835.9262164]         [Thread #40]      Creating output directories...
[1602775835.929086]          [Thread #40]      Translating reads...
[1602775855.7263627]         [Thread #40]      Running DIAMOND...
[1602775861.6172948]         [Thread #40]      Converting DIAMOND...
[1602775861.739793]          [Thread #40]      Parsing DIAMOND...
[1602775862.0627792]         [Thread #40]      Annotating...
[1602775862.4145684]         [Thread #40]      Analyzing...
[1602775862.5996575]         [Thread #40]      Create read mapping...
[1602775877.0289142]         [Thread #40]    - [Thread #40] finished
[1602775857.9675431]         [Thread #41]    - [Thread #41] running on [1/28] CPUs
[1602775857.9676266]         [Thread #41]      Creating output directories...
[1602775857.9690392]         [Thread #41]      Translating reads...
[1602775877.3346121]         [Thread #41]      Running DIAMOND...
[1602775883.3615036]         [Thread #41]      Converting DIAMOND...
[1602775883.4765265]         [Thread #41]      Parsing DIAMOND...
[1602775883.6120517]         [Thread #41]      Annotating...
[1602775883.7592602]         [Thread #41]      Analyzing...
[1602775884.0088363]         [Thread #41]      Create read mapping...
[1602775897.0877886]         [Thread #41]    - [Thread #41] finished
[1602775879.4295564]         [Thread #42]    - [Thread #42] running on [1/28] CPUs
[1602775879.4296422]         [Thread #42]      Creating output directories...
[1602775879.4312425]         [Thread #42]      Translating reads...
[1602775898.5355227]         [Thread #42]      Running DIAMOND...
[1602775904.5177264]         [Thread #42]      Converting DIAMOND...
[1602775904.6447353]         [Thread #42]      Parsing DIAMOND...
[1602775904.7908115]         [Thread #42]      Annotating...
[1602775905.1182187]         [Thread #42]      Analyzing...
[1602775905.2899754]         [Thread #42]      Create read mapping...
[1602775919.6919742]         [Thread #42]    - [Thread #42] finished
[1602775900.6347084]         [Thread #43]    - [Thread #43] running on [1/28] CPUs
[1602775900.6348004]         [Thread #43]      Creating output directories...
[1602775900.6360466]         [Thread #43]      Translating reads...
[1602775919.5170374]         [Thread #43]      Running DIAMOND...
