 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602771960.3406353]         [Thread #61]    - [Thread #61] running on [1/28] CPUs
[1602771960.3407154]         [Thread #61]      Creating output directories...
[1602771960.3423095]         [Thread #61]      Translating reads...
[1602771979.7591298]         [Thread #61]      Running DIAMOND...
[1602771985.3564672]         [Thread #61]      Converting DIAMOND...
[1602771985.4882772]         [Thread #61]      Parsing DIAMOND...
[1602771985.6802409]         [Thread #61]      Annotating...
[1602771986.0811832]         [Thread #61]      Analyzing...
[1602771986.3880208]         [Thread #61]      Create read mapping...
[1602772001.0046408]         [Thread #61]    - [Thread #61] finished
[1602771981.9184809]         [Thread #62]    - [Thread #62] running on [1/28] CPUs
[1602771981.9185665]         [Thread #62]      Creating output directories...
[1602771981.9200454]         [Thread #62]      Translating reads...
[1602772000.97994]           [Thread #62]      Running DIAMOND...
[1602772006.6260042]         [Thread #62]      Converting DIAMOND...
[1602772006.7400079]         [Thread #62]      Parsing DIAMOND...
[1602772006.9814825]         [Thread #62]      Annotating...
[1602772007.137048]          [Thread #62]      Analyzing...
[1602772007.4708571]         [Thread #62]      Create read mapping...
[1602772023.0311391]         [Thread #62]    - [Thread #62] finished
[1602772025.2537484]         [Thread #64]    - [Thread #64] running on [1/28] CPUs
[1602772025.2538288]         [Thread #64]      Creating output directories...
[1602772025.255334]          [Thread #64]      Translating reads...
[1602772044.4526656]         [Thread #64]      Running DIAMOND...
[1602772050.555409]          [Thread #64]      Converting DIAMOND...
[1602772050.675533]          [Thread #64]      Parsing DIAMOND...
[1602772051.1452482]         [Thread #64]      Annotating...
[1602772051.557299]          [Thread #64]      Analyzing...
[1602772051.8485324]         [Thread #64]      Create read mapping...
[1602772076.5981343]         [Thread #64]    - [Thread #64] finished
[1602772046.8287866]         [Thread #65]    - [Thread #65] running on [1/28] CPUs
[1602772046.8288689]         [Thread #65]      Creating output directories...
[1602772047.0225933]         [Thread #65]      Translating reads...
[1602772066.9048796]         [Thread #65]      Running DIAMOND...
[1602772073.1763635]         [Thread #65]      Converting DIAMOND...
[1602772073.2945457]         [Thread #65]      Parsing DIAMOND...
[1602772073.4706213]         [Thread #65]      Annotating...
[1602772073.7058353]         [Thread #65]      Analyzing...
